country_code,postal_code,latitude,longitude,region_id
PAK,22010,34.1688,73.2215,Abbottabad
PAK,43600,33.766,72.3609,Attock
PAK,72220,24.6459,68.8467,Badin
PAK,62300,30.0025,73.2412,Bahawalnagar
PAK,30000,31.6227,71.059151,Bhakkar
PAK,12500,28.5806,77.9806,Bagh (A.J.K) 
PAK,63100,29.354349,71.9806,Bahawalpur
PAK,21230,29.54981,80.183708,Balakot 
PAK,28100,32.985414,70.602701,Bannu 
PAK,17200,35.851802,71.786358,Chitral 
PAK,24420,34.1682,71.7504,Charsadda
PAK,46200,33.6031,73.0937,Ckaklala Cantt 
PAK,32200,30.0489,70.6455,Dera Ghazi Khan 
PAK,18000,35.1977,71.8749,Dir 
PAK,29050,31.8626,70.9019,Dera Ismail Khan 
PAK,38000,31.4504,73.135,Faisalabad 
PAK,43350,33.1908,73.1172,Fateh Jang 
PAK,47850,33.1908,73.1172,Gujar Khan 
PAK,50700,31.4736,74.2431,Gujrat 
PAK,15100,35.8819,74.4643,Gilgit 
PAK,52250,32.1877,74.2431,Gujranwala 
PAK,91200,25.246,62.2861,Gwader 
PAK,22620,33.4574,72.9106,Haripur
PAK,43730,33.4574,72.68,Hasan Abdal 
PAK,71000,17.388,78.4765,Hyderabad G.P.O. 
PAK,44000,33.738045,73.084488,Islamabad G.P.O. 
PAK,79000,28.2823,68.4472,Jacobabad 
PAK,73110,24.8538,67.7758,Jang Shahi 
PAK,35200,31.2781,72.3317,Jhang 
PAK,49600,32.9425,73.7257,Jhelum 
PAK,75500,24.8043,67.0577,Karachi Defence 
PAK,75950,24.9275,67.0641,Karachi F.B. Area 
PAK,74900,24.8387,67.1209,Karachi Korangi 
PAK,74600,24.8511,67.0017,Karachi Nazimabad G.P.O. 
PAK,74800,24.9999,67.0648,Karachi New Town 
PAK,55050,31.1179,74.4408,Kasur
PAK,41000,32.2955,72.3489,Khushab 
PAK,26000,33.5889,71.4429,Kohat 
PAK,48530,32.7769,72.7068,Kalar Kahar 
PAK,48300,29.0523,66.5879,Kalat 
PAK,52470,31.9765,74.222,Kamo Ke 
PAK,22650,26.4499,80.3319,Kanpur
PAK,74700,67.022095,24.926294,Karachi Al-Haidry 
PAK,75530,25.1072,67.2371,Karachi Cantt
PAK,74400,24.8511,67.0017,Karachi City G.P.O. 
PAK,75600,24.827,67.0251,Karachi Clifton 
PAK,74200,24.8511,67.0017,Karachi G.P.O. 
PAK,75300,24.918,67.0971,Karachi Gulshan-e-Iqbal 
PAK,75400,24.8642,67.0673,Karachi PECHS (Block # 6) 
PAK,74400,24.86,67.0264,Karachi Saddar G.P.O. 
PAK,27200,33.1105,71.0914,Karak 
PAK,62020,27.5256,68.7551,Khairpur 
PAK,58150,30.2864,771.932,Khanewal 
PAK,89100,27.8165,66.6057,Khuzdar 
PAK,76000,25.3494,68.2743,Kotri 
PAK,52600,74.329376,31.582045,Lahore Ferozepure road 
PAK,54000,31.5661,74.3131,Lahore G.P.O. 
PAK,54660,31.5102,74.3441,Lahore Gulberg 
PAK,54760,31.4515,74.3478,Lahore Ismail Nagar 
PAK,10500,31.5661,74.3131,Lahore Multan road 
PAK,54950,31.6211,74.2824,Lahore Shahdara- Bagh 
PAK,54770,31.4475,74.3081,Lahore Town Ship 
PAK,54700,31.4805,74.3239,Lahoer Model Town 
PAK,54780,31.5661,74.3131,Lahore Awan Colony 
PAK,54920,31.585,74.3749,Lahore Baghban- Pura 
PAK,54810,31.532,74.4526,Lahore Cantt 
PAK,54900,31.5893,74.3426,Lahore Chah Miran 
PAK,54570,31.5124,74.2845,Lahore Iqbal Town 
PAK,54840,31.569,74.3586,Lahore Mughal Pura 
PAK,54750,31.4691,74.3939,Lahore Walton 
PAK,77150,27.557,68.2028,Larkana 
PAK,31200,30.9693,70.9428,Leiah
PAK,42200,32.5839,71.537,Mianwali
PAK,74150,33.907,73.3943,Murree 
PAK,50400,32.5742,73.4828,Mandi Bahauddin 
PAK,21300,34.3313,73.198,Mansehra 
PAK,23200,34.1989,72.0231,Mardan 
PAK,10250,33.148,73.7537,Mirpur (A.J.K.) 
PAK,69000,25.5065,69.0136,Mirpur Khas 
PAK,60000,30.1575,71.5249,Multan 
PAK,13100,34.3551,34.3551,Muzaffarabad (A.J.K.) 
PAK,67450,26.2447,68.3935,Nawab Shah 
PAK,24100,34.0105,71.9876,Nowshera 
PAK,51800,32.1014,74.88,Narowal 
PAK,56300,30.8138,73.4534,Okara 
PAK,26300,33.9011,70.086,Parachinar
PAK,54590,31.4932,74.2972,Punjab University New Campus 
PAK,25000,34.0151,71.5249,Peshawar 
PAK,87300,30.2000Â°,67.0079,Quetta G.P.O. 
PAK,39350,31.7167,73.985,Qila Sheikhupura 
PAK,64200,28.4212,70.2989,Rahim Yar Khan 
PAK,46000,33.5948,73.0512,Rawalpindi G.P.O. 
PAK,24020,34.0751,71.9876,Risalpur 
PAK,12350,33.8584,73.7654,Rawalkot (A.J.K) 
PAK,57000,30.6682,73.1114,Sahiwal 
PAK,19200,34.7492,72.3563,Saidu Sharif 
PAK,68100,26.0436,68.948,Sanghar 
PAK,40100,30.631,72.6861,Sargodha 
PAK,23430,34.1241,72.4613,Sawabi G.P.O 
PAK,51310,32.4945,74.5229,Sialkot 
PAK,82000,29.5532,67.8808,Sibi
PAK,37050,24.6042,68.0776,Sujawal 
PAK,65200,27.7244,68.8228,Sukkur 
PAK,92600,26.0081,63.0383,Turbat
PAK,48100,32.9172,72.4081,Talagang 
PAK,47080,33.7463,72.8397,Taxila
PAK,36000,30.9709,30.9709,Toba Tek Singh 
PAK,61100,30.0442,72.3441,Vehari
PAK,47000,33.7832,72.7231,Wah 
PAK,47040,33.7715,72.7511,Wah Cantt 
PAK,52000,32.4404,74.1203,Wazir Abad 
